epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,11754.3,1.25697,2.75589,1.01045,0.49578,0.62679,0.52065,0.32535,1.32374,2.87626,0.97688,0.000278562,0.000278562,0.000278562
159,11828,1.21106,2.67995,1.00424,0.50895,0.48804,0.5052,0.31071,1.3623,2.91336,0.98442,0.000272375,0.000272375,0.000272375
160,11901.9,1.2406,2.78506,1.00332,0.48149,0.59425,0.5162,0.34112,1.25352,2.93495,0.96314,0.000266187,0.000266187,0.000266187
161,11977.1,1.23532,2.72941,0.99172,0.41997,0.60229,0.4968,0.30842,1.35375,2.89536,0.98128,0.00026,0.00026,0.00026
162,12052.3,1.2282,2.72245,0.99553,0.4763,0.58328,0.49978,0.32324,1.28817,2.89257,0.97157,0.000253812,0.000253812,0.000253812
163,12127.3,1.20486,2.67679,0.98774,0.45264,0.60455,0.49301,0.30694,1.35661,2.90355,0.98273,0.000247625,0.000247625,0.000247625
164,12201.8,1.20419,2.64446,0.98973,0.40919,0.58191,0.48403,0.27745,1.48634,3.00987,1.01144,0.000241438,0.000241438,0.000241438
165,12276.5,1.21746,2.68681,0.99613,0.45275,0.57198,0.49559,0.29831,1.40524,2.94585,0.99009,0.00023525,0.00023525,0.00023525
166,12350.6,1.2484,2.70751,0.99403,0.48602,0.52915,0.50367,0.3107,1.36548,2.95333,0.98348,0.000229063,0.000229063,0.000229063
167,12425,1.21109,2.66739,0.98655,0.47793,0.59828,0.51494,0.33365,1.27535,2.86082,0.96504,0.000222875,0.000222875,0.000222875
168,12499.2,1.2283,2.68527,0.98996,0.4584,0.50785,0.51192,0.3307,1.27287,2.86913,0.96413,0.000216688,0.000216688,0.000216688
169,12571.8,1.20313,2.67403,0.99472,0.51411,0.48076,0.50689,0.32364,1.30992,2.87771,0.97313,0.0002105,0.0002105,0.0002105
170,12647.5,1.25162,2.74174,0.99755,0.47937,0.528,0.50834,0.33365,1.26285,2.85514,0.96328,0.000204313,0.000204313,0.000204313
